observed_on,user_id,created_at,taxon_family_name,taxon_genus_name,taxon_species_name,broader,establishment_means
18/09/2020,2488549,2020-09-18 07:57:58 UTC,Fabaceae,Acacia,Acacia baileyana,3.dicot,introduced
18/07/2021,2488549,2021-07-19 11:33:08 UTC,Fabaceae,Acacia,Acacia baileyana,3.dicot,introduced
20/08/2021,2488549,2021-08-20 10:53:39 UTC,Fabaceae,Acacia,Acacia baileyana,3.dicot,introduced
4/02/2022,2488549,2022-02-05 09:09:26 UTC,Fabaceae,Acacia,Acacia baileyana,3.dicot,introduced
14/05/2022,2488549,2022-05-14 09:10:16 UTC,Fabaceae,Acacia,Acacia baileyana,3.dicot,introduced
11/08/2022,2488549,2022-08-11 11:41:07 UTC,Fabaceae,Acacia,Acacia baileyana,3.dicot,introduced
29/08/2020,2488549,2020-08-29 07:42:50 UTC,Fabaceae,Acacia,Acacia binervata,3.dicot,native
11/10/2020,2488549,2020-10-11 08:34:44 UTC,Fabaceae,Acacia,Acacia binervata,3.dicot,native
22/09/2020,4743351,2021-07-24 04:35:38 UTC,Fabaceae,Acacia,Acacia binervata,3.dicot,native
12/09/2021,2488549,2021-09-12 06:57:49 UTC,Fabaceae,Acacia,Acacia binervata,3.dicot,native
12/09/2021,2488549,2021-09-12 09:30:46 UTC,Fabaceae,Acacia,Acacia binervata,3.dicot,native
21/09/2021,4743351,2021-09-22 10:48:03 UTC,Fabaceae,Acacia,Acacia binervata,3.dicot,native
30/09/2021,2488549,2021-09-30 10:15:41 UTC,Fabaceae,Acacia,Acacia binervata,3.dicot,native
13/02/2022,4025155,2022-02-13 08:43:49 UTC,Fabaceae,Acacia,Acacia binervata,3.dicot,native
10/11/2022,2488549,2022-11-10 10:10:37 UTC,Fabaceae,Acacia,Acacia binervata,3.dicot,native
25/09/2022,4743351,2022-12-23 04:06:54 UTC,Fabaceae,Acacia,Acacia binervata,3.dicot,native
3/09/2023,2488549,2023-09-03 03:37:28 UTC,Fabaceae,Acacia,Acacia binervata,3.dicot,native
25/07/2021,2488549,2021-07-25 10:05:14 UTC,Fabaceae,Acacia,Acacia binervia,3.dicot,native
9/09/2021,4887682,2021-09-08 23:59:56 UTC,Fabaceae,Acacia,Acacia binervia,3.dicot,native
15/04/2022,2488549,2022-04-15 08:59:02 UTC,Fabaceae,Acacia,Acacia binervia,3.dicot,native
5/09/2022,2488549,2022-09-05 07:17:51 UTC,Fabaceae,Acacia,Acacia binervia,3.dicot,native
8/09/2020,3408787,2020-09-09 11:03:21 UTC,Fabaceae,Acacia,Acacia brownii,3.dicot,native
18/09/2020,2488549,2020-09-18 02:48:08 UTC,Fabaceae,Acacia,Acacia brownii,3.dicot,native
18/09/2020,2488549,2020-09-18 05:20:41 UTC,Fabaceae,Acacia,Acacia brownii,3.dicot,native
20/08/2021,2488549,2021-08-20 10:53:37 UTC,Fabaceae,Acacia,Acacia brownii,3.dicot,native
20/08/2021,2488549,2021-08-20 11:08:42 UTC,Fabaceae,Acacia,Acacia brownii,3.dicot,native
5/09/2021,2488549,2021-09-05 10:32:52 UTC,Fabaceae,Acacia,Acacia brownii,3.dicot,native
5/09/2021,2488549,2021-09-05 10:39:04 UTC,Fabaceae,Acacia,Acacia brownii,3.dicot,native
5/09/2021,2488549,2021-09-05 10:39:05 UTC,Fabaceae,Acacia,Acacia brownii,3.dicot,native
18/09/2021,3712636,2021-09-18 02:07:47 UTC,Fabaceae,Acacia,Acacia brownii,3.dicot,native
9/08/2022,2488549,2022-08-09 03:46:11 UTC,Fabaceae,Acacia,Acacia brownii,3.dicot,native
15/09/2022,2488549,2022-09-15 01:11:04 UTC,Fabaceae,Acacia,Acacia brownii,3.dicot,native
15/09/2022,2488549,2022-09-15 01:11:07 UTC,Fabaceae,Acacia,Acacia brownii,3.dicot,native
15/09/2022,2488549,2022-09-15 01:11:08 UTC,Fabaceae,Acacia,Acacia brownii,3.dicot,native
15/09/2022,2488549,2022-09-15 01:11:09 UTC,Fabaceae,Acacia,Acacia brownii,3.dicot,native
22/06/2023,2488549,2023-06-22 03:39:39 UTC,Fabaceae,Acacia,Acacia brownii,3.dicot,native
18/08/2020,4743351,2021-07-26 01:34:28 UTC,Fabaceae,Acacia,Acacia decurrens,3.dicot,native
30/07/2021,2488549,2021-07-30 07:06:04 UTC,Fabaceae,Acacia,Acacia decurrens,3.dicot,native
27/08/2021,4743351,2021-08-29 04:54:42 UTC,Fabaceae,Acacia,Acacia decurrens,3.dicot,native
17/09/2021,2488549,2021-09-17 11:35:15 UTC,Fabaceae,Acacia,Acacia decurrens,3.dicot,native
4/06/2022,2488549,2022-06-04 08:15:27 UTC,Fabaceae,Acacia,Acacia decurrens,3.dicot,native
6/08/2022,2488549,2022-08-06 08:57:19 UTC,Fabaceae,Acacia,Acacia decurrens,3.dicot,native
21/08/2023,4177273,2023-08-21 22:29:33 UTC,Fabaceae,Acacia,Acacia decurrens,3.dicot,native
22/03/2024,7134096,2024-03-22 08:30:13 UTC,Fabaceae,Acacia,Acacia decurrens,3.dicot,native
10/09/2021,2488549,2021-09-10 10:04:19 UTC,Fabaceae,Acacia,Acacia echinula,3.dicot,native
10/09/2021,2488549,2021-09-10 10:44:09 UTC,Fabaceae,Acacia,Acacia echinula,3.dicot,native
24/07/2022,3978191,2022-07-24 06:44:50 UTC,Fabaceae,Acacia,Acacia echinula,3.dicot,native
29/07/2022,2488549,2022-07-29 03:25:33 UTC,Fabaceae,Acacia,Acacia echinula,3.dicot,native
29/07/2022,2488549,2022-07-29 03:26:32 UTC,Fabaceae,Acacia,Acacia echinula,3.dicot,native
29/07/2022,2488549,2022-07-29 03:49:01 UTC,Fabaceae,Acacia,Acacia echinula,3.dicot,native
9/08/2022,2488549,2022-08-09 04:00:46 UTC,Fabaceae,Acacia,Acacia echinula,3.dicot,native
9/08/2022,2488549,2022-08-09 04:05:06 UTC,Fabaceae,Acacia,Acacia echinula,3.dicot,native
24/06/2023,2488549,2023-06-24 09:55:55 UTC,Fabaceae,Acacia,Acacia echinula,3.dicot,native
24/06/2023,2488549,2023-06-24 09:55:56 UTC,Fabaceae,Acacia,Acacia echinula,3.dicot,native
24/06/2023,2488549,2023-06-24 09:55:57 UTC,Fabaceae,Acacia,Acacia echinula,3.dicot,native
23/07/2023,3978191,2023-07-23 10:22:43 UTC,Fabaceae,Acacia,Acacia echinula,3.dicot,native
19/08/2023,6209647,2023-08-21 15:21:51 UTC,Fabaceae,Acacia,Acacia echinula,3.dicot,native
24/09/2020,2488549,2020-09-24 10:09:35 UTC,Fabaceae,Acacia,Acacia elongata,3.dicot,native
4/09/2021,3712636,2021-09-04 10:50:05 UTC,Fabaceae,Acacia,Acacia elongata,3.dicot,native
4/09/2021,3712636,2021-09-04 10:57:48 UTC,Fabaceae,Acacia,Acacia elongata,3.dicot,native
9/09/2021,4887682,2021-09-09 00:40:33 UTC,Fabaceae,Acacia,Acacia elongata,3.dicot,native
9/12/2021,2488549,2021-12-09 07:04:14 UTC,Fabaceae,Acacia,Acacia elongata,3.dicot,native
23/06/2022,2488549,2022-06-23 05:23:13 UTC,Fabaceae,Acacia,Acacia elongata,3.dicot,native
23/06/2022,2488549,2022-06-23 05:24:41 UTC,Fabaceae,Acacia,Acacia elongata,3.dicot,native
14/08/2022,265090,2022-08-14 05:54:13 UTC,Fabaceae,Acacia,Acacia elongata,3.dicot,native
21/08/2023,6209647,2023-08-21 09:53:25 UTC,Fabaceae,Acacia,Acacia elongata,3.dicot,native
8/05/2020,2488549,2020-05-08 01:24:14 UTC,Fabaceae,Acacia,Acacia falcata,3.dicot,native
8/05/2020,2488549,2020-05-08 01:28:05 UTC,Fabaceae,Acacia,Acacia falcata,3.dicot,native
15/07/2020,2488549,2020-07-15 06:29:43 UTC,Fabaceae,Acacia,Acacia falcata,3.dicot,native
4/07/2021,2488549,2021-07-04 09:43:27 UTC,Fabaceae,Acacia,Acacia falcata,3.dicot,native
18/07/2021,2488549,2021-07-19 11:30:50 UTC,Fabaceae,Acacia,Acacia falcata,3.dicot,native
5/09/2021,2488549,2021-09-05 09:57:55 UTC,Fabaceae,Acacia,Acacia falcata,3.dicot,native
24/07/2022,2488549,2022-07-24 03:56:42 UTC,Fabaceae,Acacia,Acacia falcata,3.dicot,native
6/08/2019,783222,2019-08-14 01:37:13 UTC,Fabaceae,Acacia,Acacia fimbriata,3.dicot,native
26/08/2021,2488549,2021-08-27 01:32:32 UTC,Fabaceae,Acacia,Acacia fimbriata,3.dicot,native
10/09/2021,2488549,2021-09-10 08:11:58 UTC,Fabaceae,Acacia,Acacia fimbriata,3.dicot,native
21/02/2022,2488549,2022-02-21 08:41:53 UTC,Fabaceae,Acacia,Acacia fimbriata,3.dicot,native
